r56,Nama,Sisa Stok,Satuan,HNA + PPN,QTY 1,Harga 1,Disc1,QTY2,Harga2,Disc2,QTY3,Harga3,Disc3,QTY4,Harga4,Disc4,QTY5,Harga5,Disc5
110019820401,HEXOS,41,BOX,72150,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110019820402,KONIDIN PERMEN HIJAU,0,BOX,48840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00110019820402A,HEXOS TOPLES ISI 25,0,TOPLE,36075,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140070441014,SANGOBION ISI 10 / K $$,271,BOX,79763,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
150088110418,CAMELIA EDP 103 VENTURA 22 ML,0,PC,3000000,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0
880094050219,BLUE BAND 200 GR,0,PAK,0,1,7064,0,0,0,0,0,0,0,0,0,0,0,0,0
01.02.16.3.2453,V FRESH 8 ML BARLEY,0,PC,9380,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
01007P01E,PAGODA PASTILES LEMON,13,BOX,0,1,73300,0,0,0,0,0,0,0,0,0,0,0,0,0
11110019820402,KONIDIN PERMEN MERAH,0,BOX,48840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123456789,FACE SHIELD LVTA,0,PC,0,1,8577,0,0,0,0,0,0,0,0,0,0,0,0,0
02004G11006A,GATSBY SP SACHET 6 GR GREASE SILVER,0,PAK,30303,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3009601,LEO LILIN / B,0,BOSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011K01,KAPAK JAS HUJAN,0,PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03011K02,FRESH CARE JAS HUJAN,0,PC,0,1,45000,0,0,0,0,0,0,0,0,0,0,0,0,0
03012A01A,LAKBAN SINOMAS ISI 6,0,SLOP,0,1,52977,0,0,0,0,0,0,0,0,0,0,0,0,0
03014D01,DOMINO TIMBANGAN,0,BOSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03020K01,BUKU TULIS KAPAK,0,PC,0,1,2523,0,0,0,0,0,0,0,0,0,0,0,0,0
03020K02,BUKU TULIS ISI 38,0,PC,0,1,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
0304518837A1NEW,VICKS F44 100 ML / DWS- DEXT - (HET 22800),0,PC,27911,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
31311731,CEREBROVIT X-CELL,0,BOX,0,1,172555,0,0,0,0,0,0,0,0,0,0,0,0,0
31531,WOODS PERMEN MINT,120,BOX,0,1,94500,0,0,0,0,0,0,0,0,0,0,0,0,0
04005S01,SWANTIK PENITI,0,BOX,0,1,35318,0,0,0,0,0,0,0,0,0,0,0,0,0
40319,TAWON SOAP 125 GR / B,278,PC,0,1,8015,0,0,0,0,0,0,0,0,0,0,0,0,0
4205122004,ABC BATU / B,0,BOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
